20;2;90.149
20;3;85.306
20;4;80.412
30;3;90.316
30;4;86.981
30;5;83.935
30;6;80.806
40;4;90.2
40;5;87.826
40;6;85.554
40;7;83.283
40;8;80.932
50;5;90.128
50;6;88.379
50;7;86.561
50;8;84.977
50;9;83.1
50;10;80.959
60;6;90.369
60;7;88.902
60;8;87.181
60;9;85.859
60;10;84.369
60;11;82.999
60;12;81.46
70;7;90.535
70;8;89.182
70;9;87.7
70;10;86.482
70;11;85.236
70;12;83.724
70;13;83.046
70;14;81.618
80;8;90.487
80;9;89.194
80;10;88.462
80;11;87.278
80;12;85.998
80;13;85.049
80;14;83.8
80;15;82.854
80;16;81.882
90;9;90.519
90;10;89.562
90;11;88.432
90;12;87.51
90;13;86.602
90;14;85.667
90;15;84.824
90;16;83.938
90;17;82.913
90;18;81.983
100;10;90.544
100;11;89.624
100;12;88.735
100;13;88.053
100;14;86.939
100;15;86.21
100;16;85.457
100;17;84.599
100;18;83.72
100;19;83.051
100;20;82.284
