20;2;43.732
20;3;27.79
20;4;18.289
30;3;27.947
30;4;18.24
30;5;11.962
30;6;8.821
40;4;18.029
40;5;11.949
40;6;8.804
40;7;7.438
40;8;7.06
50;5;12.229
50;6;8.724
50;7;7.427
50;8;7.063
50;9;7.002
50;10;6.995
60;6;8.717
60;7;7.376
60;8;6.983
60;9;6.939
60;10;7.022
60;11;6.972
60;12;7.014
70;7;7.452
70;8;6.998
70;9;6.998
70;10;6.925
70;11;7.004
70;12;6.991
70;13;6.932
70;14;6.971
80;8;7.009
80;9;6.999
80;10;6.913
80;11;6.979
80;12;6.936
80;13;7.011
80;14;7.018
80;15;7.011
80;16;6.957
90;9;7.046
90;10;6.948
90;11;7.0
90;12;7.032
90;13;7.008
90;14;6.997
90;15;6.971
90;16;6.977
90;17;7.005
90;18;7.007
100;10;7.05
100;11;6.98
100;12;6.928
100;13;6.984
100;14;6.958
100;15;6.972
100;16;6.956
100;17;6.973
100;18;6.986
100;19;7.002
100;20;6.982
