20;2;43.558
20;3;28.462
20;4;18.531
30;3;28.341
30;4;18.431
30;5;12.709
30;6;9.378
40;4;18.22
40;5;12.573
40;6;9.477
40;7;7.854
40;8;7.121
50;5;12.578
50;6;9.612
50;7;7.775
50;8;7.129
50;9;7.022
50;10;6.988
60;6;9.437
60;7;7.756
60;8;7.165
60;9;7.012
60;10;6.992
60;11;7.005
60;12;6.947
70;7;7.779
70;8;7.072
70;9;6.992
70;10;6.994
70;11;7.004
70;12;7.005
70;13;6.962
70;14;6.917
80;8;7.045
80;9;6.953
80;10;7.026
80;11;6.976
80;12;6.964
80;13;7.047
80;14;7.026
80;15;6.975
80;16;7.054
90;9;7.0
90;10;6.943
90;11;6.964
90;12;7.013
90;13;6.998
90;14;6.978
90;15;6.981
90;16;6.926
90;17;6.952
90;18;6.984
100;10;7.015
100;11;7.02
100;12;6.951
100;13;6.978
100;14;6.995
100;15;6.973
100;16;6.994
100;17;7.005
100;18;7.018
100;19;7.01
100;20;7.021
