20;2;77.986
20;3;69.301
20;4;61.569
30;3;74.789
30;4;68.405
30;5;62.952
30;6;57.898
40;4;72.072
40;5;67.302
40;6;62.91
40;7;58.716
40;8;55.697
50;5;70.162
50;6;66.076
50;7;62.441
50;8;59.364
50;9;56.213
50;10;53.688
60;6;68.084
60;7;65.153
60;8;61.963
60;9;59.372
60;10;56.575
60;11;54.564
60;12;52.667
70;7;66.852
70;8;63.984
70;9;61.166
70;10;59.379
70;11;56.938
70;12;55.284
70;13;53.399
70;14;51.456
80;8;65.712
80;9;63.349
80;10;60.781
80;11;58.61
80;12;57.176
80;13;55.204
80;14;53.781
80;15;52.707
80;16;50.926
90;9;64.502
90;10;62.788
90;11;60.395
90;12;58.857
90;13;56.839
90;14;55.637
90;15;54.064
90;16;52.901
90;17;51.673
90;18;50.478
100;10;63.879
100;11;61.845
100;12;60.211
100;13;58.111
100;14;56.935
100;15;55.334
100;16;54.331
100;17;53.247
100;18;51.906
100;19;51.495
100;20;50.327
