20;2;78.186
20;3;69.769
20;4;63.253
30;3;75.372
30;4;69.704
30;5;64.444
30;6;59.776
40;4;73.29
40;5;68.764
40;6;64.815
40;7;61.511
40;8;58.327
50;5;71.581
50;6;68.28
50;7;64.428
50;8;61.998
50;9;59.203
50;10;56.7
60;6;70.43
60;7;67.426
60;8;64.446
60;9;61.881
60;10;59.952
60;11;57.583
60;12;55.691
70;7;69.107
70;8;66.274
70;9;63.923
70;10;62.321
70;11;59.983
70;12;58.245
70;13;56.18
70;14;54.914
80;8;67.757
80;9;66.334
80;10;63.588
80;11;61.552
80;12;59.865
80;13;58.381
80;14;56.661
80;15;55.541
80;16;54.229
90;9;67.357
90;10;65.186
90;11;63.459
90;12;61.697
90;13;59.91
90;14;58.691
90;15;57.178
90;16;55.662
90;17;54.453
90;18;53.475
100;10;66.592
100;11;64.645
100;12;63.145
100;13;61.379
100;14;59.975
100;15;58.876
100;16;57.333
100;17;56.396
100;18;55.049
100;19;54.076
100;20;53.537
