20;2;29.953
20;3;20.079
20;4;15.693
30;3;21.146
30;4;16.541
30;5;14.426
30;6;12.949
40;4;17.202
40;5;14.673
40;6;13.492
40;7;12.738
40;8;12.321
50;5;15.16
50;6;13.756
50;7;12.833
50;8;12.658
50;9;12.396
50;10;12.32
60;6;13.774
60;7;13.216
60;8;12.978
60;9;12.503
60;10;12.496
60;11;12.385
60;12;12.358
70;7;13.466
70;8;12.937
70;9;12.656
70;10;12.608
70;11;12.617
70;12;12.591
70;13;12.63
70;14;12.489
80;8;13.104
80;9;12.826
80;10;12.803
80;11;12.643
80;12;12.563
80;13;12.629
80;14;12.694
80;15;12.6
80;16;12.617
90;9;12.901
90;10;12.847
90;11;12.784
90;12;12.792
90;13;12.771
90;14;12.878
90;15;12.675
90;16;12.635
90;17;12.676
90;18;12.673
100;10;12.881
100;11;12.768
100;12;12.838
100;13;12.798
100;14;12.818
100;15;12.773
100;16;12.605
100;17;12.877
100;18;12.841
100;19;12.737
100;20;12.812
